"","city_state","city","state","year","lat","lng","Anti-American Indian or Alaska Native","Anti-Arab","Anti-Asian","Anti-Atheism/Agnosticism","Anti-Bisexual","Anti-Black or African American","Anti-Buddhist","Anti-Catholic","Anti-Eastern Orthodox (Russian, Greek, Other)","Anti-Female","Anti-Gay (Male)","Anti-Gender Non-Conforming","Anti-Heterosexual","Anti-Hindu","Anti-Hispanic or Latino","Anti-Islamic (Muslim)","Anti-Jehovah's Witness","Anti-Jewish","Anti-Lesbian (Female)","Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)","Anti-Male","Anti-Mental Disability","Anti-Mormon","Anti-Multiple Races, Group","Anti-Multiple Religions, Group","Anti-Native Hawaiian or Other Pacific Islander","Anti-Other Christian","Anti-Other Race/Ethnicity/Ancestry","Anti-Other Religion","Anti-Physical Disability","Anti-Protestant","Anti-Sikh","Anti-Transgender","Anti-White","Unknown (offender's motivation not known)","total_cases"
"36","Glendale, AZ","Glendale","AZ",2010,33.5791,-112.2311,0,0,0,0,0,6,0,0,0,0,1,0,0,0,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13
"37","Mesa, AZ","Mesa","AZ",2010,33.4017,-111.718,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
"38","Peoria, AZ","Peoria","AZ",2010,33.7844,-112.2989,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"39","Phoenix, AZ","Phoenix","AZ",2010,33.5722,-112.0891,1,0,1,0,0,41,0,0,0,0,29,0,0,0,17,1,0,14,6,2,0,0,0,1,1,0,0,10,3,2,0,0,0,6,0,135
"40","Scottsdale, AZ","Scottsdale","AZ",2010,33.6872,-111.8651,0,0,2,0,0,4,0,0,0,0,2,0,0,0,1,1,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,16
"41","Tempe, AZ","Tempe","AZ",2010,33.3881,-111.9318,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"42","Kingman, AZ","Kingman","AZ",2010,35.217,-114.0105,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"43","Lake Havasu City, AZ","Lake Havasu City","AZ",2010,34.5006,-114.3113,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"44","Show Low, AZ","Show Low","AZ",2010,34.2671,-110.0384,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"45","Tucson, AZ","Tucson","AZ",2010,32.1545,-110.8782,0,0,1,0,0,2,0,0,0,0,3,0,0,0,1,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,14
"46","Mammoth, AZ","Mammoth","AZ",2010,32.6853,-110.7292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"47","Apache Junction, AZ","Apache Junction","AZ",2010,33.3985,-111.5351,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
"48","Maricopa, AZ","Maricopa","AZ",2010,33.0404,-112.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"49","Prescott, AZ","Prescott","AZ",2010,34.585,-112.4475,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"50","Yuma, AZ","Yuma","AZ",2010,32.5992,-114.5488,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
